key,lat,lon
Savoie;CESSENS CHATEAU BARTHLIER;nan,45.8004,5.87322
Savoie;Cessens Cornailles;Cessens,45.7999,5.86712
Savoie;CESSENS GROTTE;nan,45.7968,5.87289
Puy-de-Dôme;CEYRAT;Ceyrat,45.7301,3.06541
Hautes-Alpes;Céüse;Sigoyer,44.4778,5.9759
Hautes-Alpes;Céüse-Blocs;Sigoyer,44.4778,5.9759
Ardèche;Chabanne;Lussas,44.6232,4.4576
Alpes-de-Haute-Provence;Chabrières;Beynes,43.9882,6.22441
Drôme;Chalancon;Chalancon,44.5105,5.34654
Haute-Savoie;Chalune;Bellevaux,46.2559,6.52959
Haute-Loire;Chamalières-sur-Loire - Rocher de Costaros;Chamalières-sur-Loire,45.1833,3.96922
Hautes-Alpes;Chamandrin;Briançon,44.881,6.61586
Jura;Chambly;Doucier,46.6515,5.79653
Côte-d'Or;Chambolle-Musigny;Chambolle-Musigny,47.1903,4.94256
Puy-de-Dôme;CHAMBON -DES-NEIGES;Chambon-sur-Lac,45.5712,2.89695
Ardèche;Chamiers;Montselgues,44.5235,4.00571
Savoie;Champagny - le Torchet;Champagny-En-Vanoise,45.4484,6.68713
Puy-de-Dôme;CHAMPEAUX;Saint Genès Champanelle,45.7301,3.06541
Ardèche;Champer;Saint Sauveur de Cruzière,,
Bouches-du-Rhône;Champfleury;Sausset les Pins,43.3559,5.12139
Hautes-Alpes;Champoléon - Chaillolet;Chaillol,44.6845,6.08401
Hautes-Alpes;Champoléon - Les Baumes;Champoléon,44.7354,6.25884
Savoie;Champroverioz;Fourneaux,,
Mayenne;Changé-lès-Laval;Changé-lès-Laval,48.0947,-0.788197
"Lozère;Changefège, Barjac;Barjac",44.5051,3.41078
Ardèche;Chantadu;Lanas,44.531,4.39973
Alpes-de-Haute-Provence;Chapeau de Gendarme;Uvernet-Fours,44.3591,6.62755
Haute-Savoie;Chapeau de Napoléon;Veyrier-du-Lac,45.8816,6.1786
Savoie;Chapelle de Pontamaffrey;Pontamaffrey Montpascal,45.312,6.33812
Haute-Savoie;Chapelle Saint-Gras;Mieussy,46.1336,6.52314
Alpes-de-Haute-Provence;Chapouplan Chasteuil;Castellane,43.8478,6.51169
Saône-et-Loire;Chardonnay;Chardonnay,46.5102,4.86132
Drôme;Chastel Arnaud (Gorges de St Moirans);Chastel Arnaud,44.6664,5.20444
Ariège;Château de Roquefixade;Roquefixade,42.9355,1.7559
Isère;Château de Séchilienne;nan,45.0578,5.82894
Loire-Atlantique;Château Thébaud - Pont-Caffino (rive gauche);Château-Thébaud,47.1247,-1.41901
"Alpes-de-Haute-Provence;Château-Arnoux, Saint-Jean;Château-Arnoux",44.0938,6.0081
Bouches-du-Rhône;Château-Virant;Lançon de Provence,43.5546,5.14191
Var;Châteaudouble - baume St Jean;Châteaudouble,43.5926,6.44171
Var;Châteaudouble - les marinouns;Châteaudouble,43.5938,6.42576
Var;Châteaudouble - Rebouillon;Châteaudouble,43.5832,6.42644
"Var;Châteaudouble, Baou des Prannes;Châteaudouble",43.5928,6.40996
"Var;Châteaudouble, La Pale;Châteaudouble",43.5841,6.43082
Puy-de-Dôme;CHÂTEAUNEUF / SAINT SAUVES;St-Sauves,45.6164,2.68891
Alpes-Maritimes;Châteauneuf-de-Contes;Tourette-Levens,43.8304,7.19958
Puy-de-Dôme;CHÂTEAUNEUF-LES-BAINS - ROCHER CHARLEMAGNE;Blot-l'Eglise,46.0381,2.9541
Charente;Châteauneuf-sur-Charente - La Font-qui-Pisse;Châteauneuf-sur-Charente,45.6002,-0.0545581
Hautes-Alpes;Chateauroux;Chateauroux,44.609,6.51764
Loire-Atlantique;Châteauthébaud - Carrière de Pont-Caffino (rive droite);Maisdon-sur-Sèvre,47.0973,-1.38484
Alpes-de-Haute-Provence;Chaudanne;Castellane,43.8478,6.51169
Ardèche;Chaulet;Berrias-et-Casteljau,44.4075,4.2146
Isère;Chauvetat;Lavaldens,,
Tarn;Chemin des Fontaines;Pont-de-larn,43.504,2.40673
Haute-Savoie;Chenavier;Chamonix-Mont-Blanc,45.9237,6.8716
"Haute-Savoie;Chéserys, Aiguillette d'Argentière;Argentière",45.99,6.91654
Isère;Chez Maman;Saint-Guillaume,,
Isère;Chez Roger;Seyssinet-Pariset,45.1716,5.6695
Isère;Chez Yvette;Seyssinet-Pariset,45.1723,5.66958
Isère;Chichilianne - Fourchaux;Chichilianne,,
Savoie;Chindrieux - Le Bloc;Chindrieux,45.8216,5.85121
Savoie;Chindrieux du bas;Chindrieux,45.7919,5.86192
Drôme;Chironne;Chamaloc,44.84,5.39195
Drôme;Chironne (T.A);Chamaloc,44.8403,5.39135
Haute-Corse;Chisa;Chisa,41.9242,9.26428
"Haute-Garonne;Cier-de-Luchon, la Mailh de Jorc;Cier-de-Luchon",42.8587,0.601405
La Réunion;Cilaos - Arête Faut y croire;Cilaos,-21.1287,55.4482
La Réunion;Cilaos - Ferrières;Cilaos,-21.1277,55.4607
La Réunion;Cilaos - Fleurs Jaunes;Cilaos,-21.13,55.4458
Deux-Sèvres;Cinq Coux;Thorigné,46.2982,-0.239468
Ardèche;Cirque d'Endieu;Berrias et Casteljau,44.3752,4.1992
Corrèze;Cirque de Ladou;Saint Cernin de Larche,45.0876,1.41994
Lozère;Cirque des Baumes;La Malène,,
Doubs;Clairbief;Indevillers,47.3034,7.00923
Hérault;Claret;Claret,43.8694,3.88307
Calvados;Clécy;le Vey,48.9168,-0.482712
Doubs;Clémont;Montéchéroux,47.358,6.77908
Hérault;Clocheton des Matelles;nan,,
Ardèche;Coca Beach;Berrias et Casteljau,44.3752,4.1992
Haute-Marne;Cohons / Sous-Cerfol;Cohons,47.7886,5.34222
Hautes-Pyrénées;Col d'Ech;Omex,,
Savoie;Col de l'Epine;La Motte Servolex,45.5796,5.82165
Savoie;Col de la Doriaz;Saint Jean d'Arvey,45.6065,5.98559
Corse-du-Sud;Col de la Tana;Aullène,41.772,9.07986
Alpes-Maritimes;Col de Saint-Raphaël;La Penne,43.9281,6.94722
Savoie;Col de Saint-Saturnin;Saint-Alban-Leysse,45.6006,5.93662
Savoie;Col de Tamié;Plancherine,45.6697,6.31057
Haute-Corse;Col de Teghime - Les Trois Tours;Bastia,42.7021,9.45075
Haute-Corse;Col de Teghime - Mont Canarincu;Barbaggio,42.6847,9.37349
Haute-Corse;Col de Teghime - U Tipponu;Barbaggio,42.6847,9.37349
Alpes-de-Haute-Provence;Col des Lecques;Castellane,43.8478,6.51169
Haute-Savoie;Col des Montets;Chamonix-Mont-Blanc,46.006,6.92207
Savoie;Col des Prés;Thoiry,45.5799,6.05763
Savoie;Col du Banchet;AYN,45.566,5.73325
Savoie;Col du Chat;La Chapelle du Mont du Chat,45.6899,5.85038
Isère;Col du Coq;Saint-Pancrasse,45.3011,5.83642
Savoie;Col du marocaz;Cruet,,
Savoie;Col du Mollard;ST THIBAUD DE COUZ,45.4833,5.86408
